,Name,Medals
229,Mohamad Tlili ben Abdallah Gammoudi,4
230,Diana Gansky (Sachse-),1
231,Sven Anders Grderud,1
232,France Gareau (-Foudy),1
233,Rodion Aksanovich Gataullin,1
234,Hartwig Gauder,2
235,Heide-Elke Gaugel (-Hudak),1
236,Yevgeny Mikhaylovich Gavrilenko,1
237,Valentin Aleksandrovich Gavrilov,1
238,Paul Louis Marcel Genevay,1
239,Giuseppe Gentile,1
240,Harvey Edward Glance,1
241,"Beverley Lanita ""Bev"" Goddard-Callender",2
242,"Maria Francisca Philomena ""Mia"" Gommers (-Hoogakkers)",1
243,Ral Gonzlez Rodrguez,2
244,Yelena Yegorovna Gorchakova,1
245,Tatyana Gennadyevna Goyshchik (-Nasonova),1
246,"Samuel Louis ""Sam"" Graddy, III",2
247,"Timothy Joseph Michael ""Tim"" Graham",1
248,Trevor Graham,1
249,Winthrop Graham,1
250,"Charles Edward ""Charlie"" Greene",2
251,Delorez Florence Griffith Joyner,5
252,Saida Gunba (-Kikidze),1
253,Werner Gnthr,1
254,Ilona Maria Gusenbauer (Majdan-),1
255,Eduard Viktorovich Gushchin,1
256,Bo Henning Gustafsson,1
257,"Ervin Henry ""Erv"" Hall",1
258,"Kathleen ""Kathy"" Hammond (-Tyson)",2
259,"Millard Frank Hampton, Jr.",2
260,Wolfgang Hanisch,1
261,"Frederick Morgan ""Fred"" Hansen",1
262,Arto Kalevi Hrknen,1
263,"Daniel Lee ""Danny"" Harris",1
264,"Edward James ""Eddie"" Hart",1
265,"Robert Lee ""Bob"" Hayes",2
266,"Susan Christina ""Sue"" Hearnshaw (-Telfer)",1
267,Benjamin Basil Heatley,1
268,Christina Heinich (-Schiffner),1
269,Martina Helga Hellmann (Opitz-),1
270,Margitta Helmbold-Gummel,2
271,"Ingeborg ""Inge"" Helten",2
272,"David Peter ""Dave"" Hemery",3
273,Gerhard Hennige,2
274,"Markus Antonius ""Mark"" Henrich",1
275,Jens-Peter Herold,1
276,Maurice Herriott,1
277,"Bernhard Erich ""Bernd"" Herrmann",1
278,Klaus-Peter Hildenbrand,1
279,"Thomas Lionel ""Tom"" Hill",1
280,Sterling Dale Hinds,1
281,"James Ray ""Jim"" Hines",2
282,Jrgen Hingsen,1
283,Gabriele Hinzmann (Trepscheck-),1
284,Jobst Hirscht,1
285,Gunhild Hoffmeister,3
286,Franz-Peter Hofmeister,1
287,Christoph Hhne,1
288,Willi Holdorf,1
289,Volodymyr Stepanovych Holubnychiy,3
290,Ute Hommola,1
291,Gary Ronald Honey,1
292,Sherri Frances Howard,2
293,Denean Elizabeth Howard-Hill,2
294,Joslyn Yvonne Hoyte-Smith,1
295,Miloslava Hbnerov-Rezkov,1
296,Heather Regina Hunte-Oakes,2
297,"Johanna Luann ""Joni"" Huntley (-Rueter)",1
298,Dorothy Hyman,1
299,Lyudmila Ivanovna Ignatyeva-Samotyosova,1
300,Sheila Rena Ingram,1
301,"Valeria ""Valy"" Ionescu (-Constantin)",1
302,Edgar Itt,1
303,Paula Ivan (-Ilie),2
304,Vyacheslav Ivanovich Ivanenko,1
305,Yevgeny Mikhaylovich Ivchenko,1
306,Colin Ray Jackson,1
307,Grace Jackson-Small,1
308,Kim Simone Geraldine Jacobs,1
309,Rita Jahn-Wilden,2
310,"George Lawrence ""Larry"" James",2
311,Eva Janko (Egger-),1
312,Zbigniew Jaremski,1
313,Thomas Theodore Jefferson,1
314,Martin Jellinghaus,1
315,David Andrew Jenkins,1
316,William Bruce (-Caitlyn Marie) Jenner,1
317,"Henry Winston ""Harry"" Jerome",1
318,"Pamela Theresa ""Pam"" Jiles",1
319,"Benjamin Wabura ""Ben"" Jipcho",1
320,"Sabine John (Mbius-, -Paetz)",1
321,"Benjamin Sinclair ""Ben"" Johnson, Jr.",2
322,Jan Eric Johnson,1
323,Earl M. Jones,1
324,Hayes Wendell Jones,1
325,"John Wesley ""Johnny"" Jones",1
326,"Gregory Andrew ""Greg"" Joy",1
327,"Alfredrick Alphonzo ""Al"" Joyner",1
328,"Jacqueline ""Jackie"" Joyner-Kersee",3
329,Alberto Juantorena Danger,2
330,Stefan Junge,1
331,Antti Tapani Kalliomki,1
332,Bernd Gerhard Kannenberg,1
333,Paavo Tapio Kantanen,1
334,Julius Kariuki,1
335,Dagmar Ksling (-Lhnenschlo),1
336,Ryszard Katus,1
337,Evelin Kaufer (-Schmuck),1
338,Tatyana Vasilyevna Kazankina (-Kovalenko),3
339,Mohamed Kedir,1
340,"Kipchoge Hezekieh ""Kip"" Keino",4
341,Francis Kerbiriou,1
342,Vasily Vladimirovich Khmelevsky,1
343,Ivanka Marinova Khristova (Todorova-),2
344,Tsvetanka Mincheva Khristova,1
345,Urszula Kielan (-Lipiec),1
346,"Pamela ""Pam"" Kilborn-Ryan (-Nelson)",2
347,"Mary Elizabeth ""Molly"" Killingbeck",1
348,Kipkemboi Kimeli,1
349,Kenji Kimihara,1
350,Manfred Kinder,1
351,Roger Nona Kingdom,2
352,Jorma Vilho Paavali Kinnunen,1
353,Nikolay Ivanovich Kirov,1
